node1,node2,weight
ACTG1,ARID1A,0.841
ACTG1,DCTN1,0.442
ACTG1,PPP1CB,0.474
AFF1,MLLT1,0.999
AFF1,LASP1,0.503
AFF1,KDM6A,0.404
AFF1,ZNF384,0.473
AFF1,ETV6,0.715
APH1A,NCSTN,0.999
ARID1A,STAG2,0.556
ARID1A,MSH6,0.726
ARID1A,U2AF1,0.483
ARID1A,MAP2K4,0.403
ARID1A,FUBP1,0.426
ARID1A,TLE1,0.452
ARID1A,FGFR2,0.592
ARID1A,EWSR1,0.606
ARID1A,BRCA2,0.663
ARID1A,POLE,0.672
ARID1A,KDM6A,0.675
ARID1A,SOX2,0.741
ARID1A,ACTG1,0.841
BACH2,PATZ1,0.551
BRCA2,TRIP13,0.418
BRCA2,NTHL1,0.449
BRCA2,FANCE,0.899
BRCA2,MSH6,0.967
BRCA2,MAD2L2,0.658
BRCA2,FANCD2,0.999
BRCA2,FANCC,0.919
BRCA2,RAD21,0.72
BRCA2,PPM1D,0.405
BRCA2,ARID1A,0.663
BRCA2,POLE,0.849
BRCA2,SMC1A,0.418
BRCA2,FANCF,0.908
BRCA2,LMNA,0.404
BRCA2,XPA,0.806
BRCA2,FANCG,0.997
BRCA2,SPOP,0.506
BRCA2,CYP19A1,0.527
BRCA2,MAP2K4,0.562
BRCA2,FGFR2,0.581
BRCA2,MUTYH,0.728
BRCA2,ERCC5,0.913
BRCA2,FANCA,0.968
CACNA1D,PPP1CB,0.907
CASP8,NOD1,0.8
CASP8,SOX2,0.565
CASP8,MAP2K4,0.409
CASP8,DDIT3,0.552
CASP8,MYD88,0.742
CASP8,CYLD,0.972
CHIC2,FGF10,0.41
CHIC2,ETV6,0.853
CLIP1,STAG2,0.416
CLIP1,DCTN1,0.999
CLIP1,NUMA1,0.423
CYLD,NOD1,0.576
CYLD,TRAF7,0.439
CYLD,CASP8,0.972
CYLD,MYD88,0.626
CYP19A1,BRCA2,0.527
CYP19A1,IGF2,0.4
DCTN1,ACTG1,0.442
DCTN1,NUMA1,0.794
DCTN1,CLIP1,0.999
DDIT3,CASP8,0.552
DDIT3,RPL5,0.513
DDIT3,SPOP,0.401
DDIT3,EWSR1,0.46
DKK1,POU5F1,0.512
DKK1,LRP6,0.999
DKK1,FGF10,0.545
DKK1,DKK2,0.938
DKK1,LRP5,0.999
DKK1,SOX2,0.531
DKK1,GPC3,0.424
DKK2,LRP6,0.999
DKK2,DKK1,0.938
DKK2,LRP5,0.999
ERCC5,NTHL1,0.768
ERCC5,MSH6,0.963
ERCC5,FANCD2,0.773
ERCC5,POLE,0.634
ERCC5,FANCF,0.408
ERCC5,XPA,0.992
ERCC5,FANCG,0.42
ERCC5,BRCA2,0.913
ERCC5,FANCA,0.47
ERCC5,MUTYH,0.552
ETV6,STAG2,0.612
ETV6,MLLT1,0.512
ETV6,LRP6,0.515
ETV6,CHIC2,0.853
ETV6,U2AF1,0.682
ETV6,LRP5,0.403
ETV6,RAD21,0.477
ETV6,ZRSR2,0.699
ETV6,SMC1A,0.481
ETV6,LMNA,0.427
ETV6,TLX1,0.511
ETV6,KDM6A,0.445
ETV6,AFF1,0.715
ETV6,FLI1,0.419
ETV6,EWSR1,0.548
ETV6,ZNF384,0.645
EWSR1,STAG2,0.508
EWSR1,POU5F1,0.755
EWSR1,PATZ1,0.88
EWSR1,U2AF1,0.674
EWSR1,U2AF2,0.623
EWSR1,ARID1A,0.606
EWSR1,SOX2,0.524
EWSR1,FUBP1,0.492
EWSR1,PAX7,0.64
EWSR1,TLE1,0.447
EWSR1,ETV6,0.548
EWSR1,ZNF384,0.461
EWSR1,DDIT3,0.46
EWSR1,TAF15,0.749
EWSR1,NR4A3,0.9
EWSR1,FLI1,0.912
FANCA,FANCE,0.999
FANCA,MSH6,0.615
FANCA,MAD2L2,0.6
FANCA,FANCD2,0.999
FANCA,FANCC,0.999
FANCA,POLE,0.567
FANCA,FANCF,0.999
FANCA,XPA,0.582
FANCA,FANCG,0.999
FANCA,BRCA2,0.968
